[12:06:29 AM]  Mua Tóc RS Ichiji -500 ruby
[12:08:42 AM]  Logout : [Beri] 1.999.781.008 [Ruby] 1.999.917.662
[12:20:33 PM]  Login : [Beri] 1.999.781.008 [Ruby] 1.999.917.662
[12:37:48 PM]  Nhặt +8910 beri
[12:37:53 PM]  Nhặt +10395 beri
[12:38:04 PM]  Nhặt +16632 beri
[12:38:18 PM]  Nhặt +6237 beri
[12:38:22 PM]  Nhặt +3465 beri
[12:38:23 PM]  Nhặt +1188 beri
[12:38:26 PM]  Nhặt +8316 beri
[12:38:40 PM]  Nhặt +3069 beri
[12:38:41 PM]  Nhặt +3168 beri
[12:38:43 PM]  Nhặt +3762 beri
[12:38:45 PM]  Nhặt +8811 beri
[12:38:47 PM]  Nhặt +14553 beri
[12:38:55 PM]  Nhặt +12375 beri
[12:39:00 PM]  Nhặt +13662 beri
[12:39:01 PM]  Nhặt +7128 beri
[12:39:02 PM]  Nhặt +2277 beri
[12:39:06 PM]  Nhặt +16632 beri
[12:39:08 PM]  Nhặt +16830 beri
[12:39:10 PM]  Nhặt +14157 beri
[12:39:55 PM]  Nhặt +18018 beri
[12:39:59 PM]  Nhặt +8118 beri
[12:40:03 PM]  Nhặt +7227 beri
[12:40:07 PM]  Nhặt +16236 beri
[12:40:15 PM]  Nhặt +8910 beri
[12:40:20 PM]  Nhặt +15147 beri
[12:40:21 PM]  Nhặt +16632 beri
[12:40:21 PM]  Nhặt +13365 beri
[12:40:23 PM]  Nhặt +15048 beri
[12:40:29 PM]  Nhặt +11781 beri
[12:40:30 PM]  Nhặt +12969 beri
[12:40:32 PM]  Nhặt +4851 beri
[12:40:34 PM]  Nhặt +13860 beri
[12:40:41 PM]  Nhặt +10395 beri
[12:40:48 PM]  Nhặt +19008 beri
[12:40:50 PM]  Nhặt +10296 beri
[12:40:51 PM]  Nhặt +2376 beri
[12:40:55 PM]  Nhặt +10494 beri
[12:40:58 PM]  Nhặt +2673 beri
[12:41:01 PM]  Nhặt +16434 beri
[12:41:02 PM]  Nhặt +4752 beri
[12:41:04 PM]  Nhặt +9603 beri
[12:41:12 PM]  Nhặt +12474 beri
[12:41:13 PM]  Nhặt +9306 beri
[12:41:27 PM]  Nhặt +6138 beri
[12:41:29 PM]  Nhặt +11385 beri
[12:41:36 PM]  Nhặt +16335 beri
[12:41:37 PM]  Nhặt +1188 beri
[12:41:40 PM]  Nhặt +12375 beri
[12:41:41 PM]  Nhặt +17622 beri
[12:41:42 PM]  Nhặt +396 beri
[12:41:44 PM]  Nhặt +11880 beri
[12:41:48 PM]  Nhặt +1485 beri
[12:41:49 PM]  Nhặt +297 beri
[12:41:50 PM]  Nhặt +4851 beri
[12:41:55 PM]  Nhặt +3762 beri
[12:41:56 PM]  Nhặt +18018 beri
[12:41:58 PM]  Nhặt +18315 beri
[12:41:59 PM]  Nhặt +19602 beri
[12:41:59 PM]  Nhặt +9108 beri
[12:42:02 PM]  Nhặt +11979 beri
[12:42:05 PM]  Nhặt +17028 beri
[12:42:06 PM]  Nhặt +19107 beri
[12:42:12 PM]  Nhặt +17919 beri
[12:42:13 PM]  Nhặt +18612 beri
[12:42:15 PM]  Nhặt +1980 beri
