[09:49:00 PM]  Logout : [Beri] 40.547.110 [Ruby] 32.940
[09:49:04 PM]  Login : [Beri] 40.547.110 [Ruby] 32.940
[09:49:25 PM]  Nhặt +1116 beri
[09:49:50 PM]  Nhặt +1250 beri
[09:50:09 PM]  Nhặt +882 beri
[09:50:58 PM]  Nhặt +1593 beri
[09:51:41 PM]  Nhặt +9 beri
[09:51:48 PM]  Nhặt +670 beri
[09:52:00 PM]  Nhặt +657 beri
[09:52:32 PM]  Nhặt +1242 beri
[09:54:00 PM]  Logout : [Beri] 40.554.529 [Ruby] 32.940
[09:54:51 PM]  Login : [Beri] 40.554.529 [Ruby] 32.940
[09:55:08 PM]  Mua Thời trang Dracula -500 ruby
[09:55:18 PM]  Mua Chị hằng -500 ruby
[09:55:28 PM]  Mua Tóc lửa -500 ruby
[09:55:59 PM]  Logout : [Beri] 40.554.529 [Ruby] 31.440
[09:56:09 PM]  Login : [Beri] 40.554.529 [Ruby] 31.440
[09:57:22 PM]  Logout : [Beri] 40.554.529 [Ruby] 31.440
[10:03:26 PM]  Login : [Beri] 40.554.529 [Ruby] 31.440
[10:03:48 PM]  Nhập giftcode Bạn nhận được:
Beri : 1000000
Ruby : 50000
Item : 
[10:05:10 PM]  Nhặt +418 beri
[10:05:28 PM]  Nhặt +1408 beri
[10:05:34 PM]  Nhặt +1859 beri
[10:06:21 PM]  Mua Kiếm tinh luyện 2 -1700 beri
[10:06:28 PM]  Bán item +45 beri
[10:06:30 PM]  Mua Kiếm tinh luyện 2 -1700 beri
[10:06:41 PM]  Mua Áo sơ mi -1400 beri
[10:06:47 PM]  Mua Quần short -1200 beri
[10:08:37 PM]  Nhặt +2006 beri
[10:09:22 PM]  Mua Quả Conache -0 beri
[10:09:22 PM]  Mua Quả Conache -0 beri
[10:09:22 PM]  Mua Quả Conache -0 beri
[10:09:22 PM]  Mua Quả Conache -0 beri
[10:09:23 PM]  Mua Quả Conache -0 beri
[10:09:23 PM]  Mua Quả Conache -0 beri
[10:09:23 PM]  Mua Quả Conache -0 beri
[10:09:23 PM]  Mua Quả Conache -0 beri
[10:09:23 PM]  Mua Quả Conache -0 beri
[10:09:23 PM]  Mua Quả Conache -0 beri
[10:09:23 PM]  Mua Quả Conache -0 beri
[10:09:23 PM]  Mua Quả Conache -0 beri
[10:09:24 PM]  Mua Quả Conache -0 beri
[10:09:24 PM]  Mua Quả Conache -0 beri
[10:09:24 PM]  Mua Quả Conache -0 beri
[10:09:24 PM]  Mua Quả Conache -0 beri
[10:09:24 PM]  Mua Quả Conache -0 beri
[10:09:24 PM]  Mua Quả Conache -0 beri
[10:09:24 PM]  Mua Quả Conache -0 beri
[10:09:25 PM]  Mua Quả Conache -0 beri
[10:09:27 PM]  Mua Súp baratie -1600 beri
[10:09:27 PM]  Mua Súp baratie -1600 beri
[10:09:27 PM]  Mua Súp baratie -1600 beri
[10:09:27 PM]  Mua Súp baratie -1600 beri
[10:09:59 PM]  Nhặt +612 beri
[10:10:57 PM]  Nhặt +3128 beri
[10:11:14 PM]  Nhặt +2040 beri
[10:12:38 PM]  Nhặt +1870 beri
[10:13:21 PM]  Nhặt +2669 beri
[10:15:12 PM]  Nhặt +1564 beri
[10:15:21 PM]  Nhặt +1139 beri
[10:15:52 PM]  Nhặt +1649 beri
[10:16:17 PM]  Nhặt +2737 beri
[10:17:41 PM]  Nhặt +1037 beri
[10:17:42 PM]  Nhặt +102 beri
[10:18:45 PM]  Nhặt +2924 beri
[10:19:00 PM]  Nhặt +2074 beri
[10:20:49 PM]  Nhặt +1566 beri
[10:22:34 PM]  Nhặt +1566 beri
[10:23:03 PM]  Nhặt +1926 beri
[10:23:38 PM]  Nhặt +2682 beri
[10:24:15 PM]  Nhặt +486 beri
[10:24:19 PM]  Logout : [Beri] 41.579.636 [Ruby] 81.440
[11:26:45 PM]  Login : [Beri] 41.579.636 [Ruby] 81.440
[11:26:50 PM]  Nhặt +1653 beri
[11:27:45 PM]  Nhặt +1952 beri
